object;tag
4395;Pogoda
4395;Internet
4395;ac
3050;ac
3051;ac
66461;traccar_json
66462;traccar_inhome
66463;traccar_connected
15304;Gabinet_Sz_ms_or
15305;Gabinet_Sz_ms_or
15311;Gabinet_P_ms_or
15312;Gabinet_P_ms_or
15313;Kuchnia_ms_or
14423;Kuchnia_ms_or
14583;Jadalnia_ms_or
15315;Jadalnia_ms_or
15308;Jadalnia_ms_or
15306;Salon_ms_or
15307;Salon_ms_or
15309;Sypialnia_ms_or
15310;Sypialnia_ms_or
15314;Muzyczny_ms_or
14789;Muzyczny_ms_or
14855;Goscinny_1_ms_or
14865;Goscinny_1_ms_or
14829;Goscinny_Aneks_ms_or
14839;Goscinny_Aneks_ms_or
2632;to_somfy
2633;to_somfy
2635;to_somfy
2636;to_somfy
2638;to_somfy
2639;to_somfy
2675;to_somfy
2740;to_somfy
2741;to_somfy
2626;to_somfy
2627;to_somfy
2674;to_somfy
2676;to_somfy
2707;to_somfy
2721;to_somfy
2739;to_somfy
2759;to_somfy
2657;to_somfy
2656;to_somfy
2660;to_somfy
2661;to_somfy
2664;to_somfy
2665;to_somfy
2668;to_somfy
2669;to_somfy
2658;to_somfy
2659;to_somfy
2662;to_somfy
2663;to_somfy
2666;to_somfy
2667;to_somfy
2670;to_somfy
2671;to_somfy
2715;to_somfy
2716;to_somfy
2717;to_somfy
2630;to_somfy
2629;to_somfy
2624;to_somfy
2623;to_somfy
2944;read-flag
2944;hvac
3262;refresh
3264;refresh
8715;hvac_com
8715;to_delta_setpoint
8971;hvac_com
8971;to_delta_setpoint
8991;hvac_com
8991;to_delta_setpoint
9011;hvac_com
9011;to_delta_setpoint
9031;hvac_com
9031;to_delta_setpoint
9051;hvac_com
9051;to_delta_setpoint
9227;hvac_com
9227;to_delta_setpoint
9247;hvac_com
9247;to_delta_setpoint
9267;hvac_com
9267;to_delta_setpoint
9307;hvac_com
9307;to_delta_setpoint
9327;hvac_com
9327;to_delta_setpoint
9347;hvac_com
9347;to_delta_setpoint
9367;hvac_com
9367;to_delta_setpoint
9387;hvac_com
9387;to_delta_setpoint
10819;hvac_com
10819;to_delta_setpoint
10837;hvac_com
10837;to_delta_setpoint
8456;fan_valves_st
8455;fan_valves_cmd
8457;fan_valves_cmd
8458;fan_valves_st
8459;fan_valves_cmd
8460;fan_valves_st
8483;fan_valves_cmd
8484;fan_valves_st
8482;fan_valves_st
8481;fan_valves_cmd
8480;fan_valves_st
8479;fan_valves_cmd
8478;fan_valves_st
8477;fan_valves_cmd
8476;fan_valves_st
8475;fan_valves_cmd
8474;fan_valves_st
8473;fan_valves_cmd
8472;fan_valves_st
8471;fan_valves_cmd
8470;fan_valves_st
8469;fan_valves_cmd
8468;fan_valves_st
8467;fan_valves_cmd
8463;fan_valves_cmd
8464;fan_valves_st
2818;to_valve
2821;to_valve
2824;to_valve
2827;to_valve
2830;to_valve
2833;to_valve
2836;to_valve
2839;to_valve
2842;to_valve
2845;to_valve
2848;to_valve
2851;to_valve
2854;to_valve
2876;to_valve
2882;to_valve
2901;to_valve
3060;to_valve
3061;to_valve
2816;to_valve
2819;to_valve
2822;to_valve
2825;to_valve
2828;to_valve
2831;to_valve
2834;to_valve
2837;to_valve
2840;to_valve
2843;to_valve
2846;to_valve
2849;to_valve
2852;to_valve
2877;to_valve
2880;to_valve
2900;to_valve
8485;fan_valves_cmd
8486;fan_valves_st
8462;fan_valves_st
8461;fan_valves_cmd
8465;fan_valves_cmd
8466;fan_valves_st
2897;hvac
2897;pwm-50
2895;hvac
2895;pwm-50
2896;hvac
2896;pwm-50
11015;ARR
11015;read-flag
29028;hvac_comforttouch
29284;hvac_comforttouch
29055;hvac_comforttouch
29311;hvac_comforttouch
3280;hvac_comforttouch
3135;hvac_comforttouch
3136;hvac_comforttouch
3139;hvac_comforttouch
3283;hvac_comforttouch
3285;hvac_comforttouch
3144;hvac_comforttouch
3122;hvac_comforttouch
3123;hvac_comforttouch
