id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
6669;6669;00;1592776889;Pralnia_Nad blatem_status;;1001;ETS import;1;0;R01.2_pwr, Osw_liczba_sum;0;;;;;;
6671;6671;00;1592858272;Pralnia_status;;1001;ETS import;1;0;Piwnica_status;0;;;;;;
6672;6672;00;1592840489;Pralnia_G18_status;;1001;ETS import;1;0;R01.2_pwr, Osw_liczba_sum;0;;;;;;
6673;6673;00;1592846595;Kotłownia_K12_status;;1001;ETS import;1;0;R01.3_pwr, Osw_liczba_sum, Kotłownia_status;0;;;;;;
6674;6674;00;1592846591;Kotłownia_BK3_status;;1001;ETS import;1;0;R01.3_pwr, Osw_liczba_sum, Kotłownia_status;0;;;;;;
6675;6675;00;1592849561;Komunikacja -1p_K14+K15_status;;1001;ETS import;1;0;R01.4_pwr;0;;;;;;
6676;6676;00;1592844969;Komunikacja -1p_BK2_status;;1001;ETS import;1;0;R01.4_pwr, Osw_liczba_sum;0;;;;;;
6677;6677;00;1592849561;Komunikacja_status;;1001;ETS import;1;0;Piwnica_status;0;;;;;;
6678;6678;00;1592435277;Garderoba na basenie_status;;1001;ETS import;1;0;R01.6_pwr, Piwnica_status;0;;;;;;
6679;6679;00;1592844981;Łazienka na basenie_status;;1001;ETS import;1;0;R01.7_pwr, Piwnica_status;0;;;;;;
6680;6680;00;1592844902;Basenownia_status;;1001;ETS import;1;0;R01.5_pwr, Osw_liczba_sum, Piwnica_status;0;;;;;;
6681;6681;00;1592845787;Wjazd do Garażu_status;;1001;ETS import;1;0;R01.9_pwr, Osw_liczba_sum;0;;;;;;
6682;6682;;1455714980;Basen part_status;;1;ETS import;1;0;;0;;;;;;
6683;6683;00;1592821211;Pralnia_W podciągu_K5_status;;1001;ETS import;1;0;Osw_liczba_sum;0;;;;;;
6684;6684;00;1592846595;Kotłownia_status;;1001;;1;0;Piwnica_status;0;;;;;;
6685;6685;00;1592858272;Piwnica_status;;1001;;1;0;Osw_Dom_status;0;;;;;;
6686;6686;00;1592858438;Osw_Dom_status;;1001;;1;0;;0;;;;;;
6912;6912;00;1592697556;Wejścia_Taras W_status;;1;ETS import;1;0;R1.12_pwr;0;;;;;;
6913;6913;00;1592786101;Wejścia_Taras N_status;;1;ETS import;1;0;;0;;;;;;
6914;6914;00;1592769063;Wejścia_Trejaż_status;;1;ETS import;1;0;;0;;;;;;
6915;6915;00;1592769989;Front_Elewacja_status;;1;ETS import;1;0;;0;;;;;;
6916;6916;00;1592769989;Front_Podjazd_status;;1;ETS import;1;0;;0;;;;;;
6917;6917;00;1592769989;Front_Obok Stróżówki_status;;1;ETS import;1;0;;0;;;;;;
6918;6918;00;1592769989;Front_Skarpa_status;;1;ETS import;1;0;;0;;;;;;
6919;6919;00;1592769989;Front_Gniazda_status;;1;ETS import;1;0;;0;;;;;;
6920;6920;00;1592602399;Wejścia_Basen_status;;1;ETS import;1;0;;0;;;;;;
6921;6921;00;1592549704;Urządzenia_Strumyk R_on/off status;;1001;ETS import;1;0;;0;;;;;;
6922;6922;00;1592549704;Urządzenia_Strumyk R_value status;;5001;ETS import;1;0;;0;;;;;;
6923;6923;00;1592549704;Urządzenia_Strumyk G_on/off status;;1001;ETS import;1;0;;0;;;;;;
6924;6924;00;1592549704;Urządzenia_Strumyk G_value status;;5001;ETS import;1;0;;0;;;;;;
6925;6925;00;1592549704;Urządzenia_Strumyk B_on/off status;;1001;ETS import;1;0;;0;;;;;;
6926;6926;00;1592549704;Urządzenia_Strumyk B_value status;;5001;ETS import;1;0;;0;;;;;;
6927;6927;00;1592549704;Urządzenia_Strumyk RGB_on/off status;;1001;ETS import;1;0;Osw_liczba_sum;0;;;;;;
